Question,Answer,Confidence
What causes kidney stones?,"kidney stones can form when substances in the urinesuch as calcium, magnesium, oxalate, and phosphorousbecome highly concentrated due to one or more causes: - defects in the urinary tract may block the flow of urine and create pools of urine. in stagnant urine, stone-forming substances tend to settle together into stones. up to one-third of children who have stones have an anatomic abnormality in their urinary tract. - kidney stones may have a genetic cause. in other words, the tendency to form stones can run in families due to inherited factors. - an unhealthy lifestyle may make children more likely to have kidney stones. for example, drinking too little water or drinking the wrong types of fluids, such as soft drinks or drinks with caffeine, may cause substances in the urine to become too concentrated. similarly, too much sodium, or salt, in the diet may contribute to more chemicals in the urine, causing an increase in stone formation. some doctors believe increases in obesity rates, less active lifestyles, and diets higher in salt may be causing more children to have kidney stones. - sometimes, a urinary tract infection can cause kidney stones to form. some types of bacteria in the urinary tract break down ureaa waste product removed from the blood by the kidneysinto substances that form stones. - some children have metabolic disorders that lead to kidney stones. metabolism is the way the body uses digested food for energy, including the process of breaking down food, using foods nutrients in the body, and removing the wastes that remain. the most common metabolic disorder that causes kidney stones in children is hypercalciuria, which causes extra calcium to collect in the urine. other more rare metabolic conditions involve problems breaking down oxalate, a substance made in the body and found in some foods. these conditions include hyperoxaluria, too much oxalate in the urine, and oxalosis, characterized by deposits of oxalate and calcium in the bodys tissues. another rare metabolic condition called cystinuria can cause kidney stones. cystinuria is an excess of the amino acid cystine in the urine. amino acids are the building blocks of proteins.",0.902
What is arthritis?,"if you feel pain and stiffness in your body or have trouble moving around, you might have arthritis. most kinds of arthritis cause pain and swelling in your joints. joints are places where two bones meet, such as your elbow or knee. over time, a swollen joint can become severely damaged. some kinds of arthritis can also cause problems in your organs, such as your eyes or skin. types of arthritis include - osteoarthritis is the most common type of arthritis. it's often related to aging or to an injury. - autoimmune arthritis happens when your body's immune system attacks healthy cells in your body by mistake. rheumatoid arthritis is the most common form of this kind of arthritis. - juvenile arthritis is a type of arthritis that happens in children. - infectious arthritis is an infection that has spread from another part of the body to the joint. - psoriatic arthritis affects people with psoriasis. - gout is a painful type of arthritis that happens when too much uric acid builds up in the body. it often starts in the big toe. nih: national institute of arthritis and musculoskeletal and skin diseases",1.0
What are the symptoms of tuberculosis?,"tuberculosis (tb) is a disease caused by bacteria called mycobacterium tuberculosis. the bacteria usually attack the lungs, but they can also damage other parts of the body. tb spreads through the air when a person with tb of the lungs or throat coughs, sneezes, or talks. if you have been exposed, you should go to your doctor for tests. you are more likely to get tb if you have a weak immune system. symptoms of tb in the lungs may include - a bad cough that lasts 3 weeks or longer - weight loss - loss of appetite - coughing up blood or mucus - weakness or fatigue - fever - night sweats skin tests, blood tests, x-rays, and other tests can tell if you have tb. if not treated properly, tb can be deadly. you can usually cure active tb by taking several medicines for a long period of time. nih: national institute of allergy and infectious diseases",0.812
What is obesity?,"obesity means having too much body fat. it is different from being overweight, which means weighing too much. the weight may come from muscle, bone, fat, and/or body water. both terms mean that a person's weight is greater than what's considered healthy for his or her height. obesity occurs over time when you eat more calories than you use. the balance between calories-in and calories-out differs for each person. factors that might affect your weight include your genetic makeup, overeating, eating high-fat foods, and not being physically active. being obese increases your risk of diabetes, heart disease, stroke, arthritis, and some cancers. if you are obese, losing even 5 to 10 percent of your weight can delay or prevent some of these diseases. for example, that means losing 10 to 20 pounds if you weigh 200 pounds. nih: national institute of diabetes and digestive and kidney diseases",1.0
What causes migraine?,"if you suffer from migraine headaches, you're not alone. about 12 percent of the u.s. population gets them. migraines are recurring attacks of moderate to severe pain. the pain is throbbing or pulsing, and is often on one side of the head. during migraines, people are very sensitive to light and sound. they may also become nauseated and vomit. migraine is three times more common in women than in men. some people can tell when they are about to have a migraine because they see flashing lights or zigzag lines or they temporarily lose their vision. many things can trigger a migraine. these include - anxiety - stress - lack of food or sleep - exposure to light - hormonal changes (in women) doctors used to believe migraines were linked to the opening and narrowing of blood vessels in the head. now they believe the cause is related to genes that control the activity of some brain cells. medicines can help prevent migraine attacks or help relieve symptoms of attacks when they happen. for many people, treatments to relieve stress can also help. nih: national institute of neurological disorders and stroke",0.802
What is hepatitis?,"your liver is the largest organ inside your body. it helps your body digest food, store energy, and remove poisons. hepatitis is an inflammation of the liver. one type, hepatitis b, is caused by the hepatitis b virus (hbv). hepatitis b spreads by contact with an infected person's blood, semen, or other body fluid. an infected woman can give hepatitis b to her baby at birth. if you get hbv, you may feel as if you have the flu. you may also have jaundice, a yellowing of skin and eyes, dark-colored urine, and pale bowel movements. some people have no symptoms at all. a blood test can tell if you have it. hbv usually gets better on its own after a few months. if it does not get better, it is called chronic hbv, which lasts a lifetime. chronic hbv can lead to scarring of the liver, liver failure, or liver cancer. there is a vaccine for hbv. it requires three shots. all babies should get the vaccine, but older children and adults can get it too. if you travel to countries where hepatitis b is common, you should get the vaccine. nih: national institute of diabetes and digestive and kidney diseases",1.0
What is thyroid disease?,"thyroid disease is a disorder that affects the thyroid gland. sometimes the body produces too much or too little thyroid hormone. thyroid hormones regulate metabolismthe way the body uses energyand affect nearly every organ in the body. too much thyroid hormone is called hyperthyroidism and can cause many of the bodys functions to speed up. too little thyroid hormone is called hypothyroidism and can cause many of the bodys functions to slow down. thyroid hormone plays a critical role during pregnancy both in the development of a healthy baby and in maintaining the health of the mother. women with thyroid problems can have a healthy pregnancy and protect their fetuses health by learning about pregnancys effect on the thyroid, keeping current on their thyroid function testing, and taking the required medications.",0.801
What is cholesterol?,"correct option: sterol. ref: dm vasudevan - textbook of biochemistry, 6th edition, page no: 146",1.0
What is a healthy diet?,"correct option: rich in fruits and low-fat dairy products. ans. is 'b' i.e., rich in fruits and low-fat dairy products",0.483
When should I see a doctor for chest pain?,"having a pain in your chest can be scary. it does not always mean that you are having a heart attack. there can be many other causes, including - other heart problems, such as angina - panic attacks - digestive problems, such as heartburn or esophagus disorders - sore muscles - lung diseases, such as pneumonia, pleurisy, or pulmonary embolism - costochondritis - an inflammation of joints in your chest some of these problems can be serious. get immediate medical care if you have chest pain that does not go away, crushing pain or pressure in the chest, or chest pain along with nausea, sweating, dizziness or shortness of breath. treatment depends on the cause of the pain.",0.817
